_id,Major1,Major2,Major3
1582283,SIS,,
1402365,LSJ,CL ST,
1386886,CHEM,BIOCHM,
1407986,ECON,,
1493884,M E,,
1482382,COM,,
1578352,CHEM E,,
1116735,COM,,
1484448,COM,,
1337211,MATH,,
1475699,PHYS,,
1727787,BIOCHM,,
1378711,I S,FINANC,
1620340,POL S,,
1398754,C SCI,ACMS,
1025478,INFO,,
1467533,BIOL,,
1475069,CM,,
1493692,BIOEN,,
1489735,ESRM,,
1580479,GEOG,,
1387870,CHID,ANTH,
1183104,GEOG,,
1307319,BIOL,,
1472377,ESRM,,
1249104,INFO,,
1830838,MLS,,
1580210,C SCI,,
1495722,STAT,MATH,
1562409,CHEM E,,
1496362,MST,,
1408280,BIOL,,
1212914,COM E,,
1388051,ENVIR,,
1575578,INFO,,
1500086,PSYCH,,
1571532,BIOL,,
1821787,PSYCH,,
809769,SOC,,
1629656,EDUC,,
1543656,BIOCHM,,
1405783,POL S,,
1582167,L ARCH,,
1394512,SOC,,
1179304,PH,,
1483122,COM,,
1215853,C SCI,,
1566441,HCDE,,
1483037,E E,,
1477951,FINANC,ACCTG,
1492550,M E,,
1355566,ARCHST,,
1574854,ANTH,DANCE,
1549059,NURSX,,
1496707,N MATR,,
1571914,C SCI,,
1488147,JAPAN,,
1342004,COM,,
1473918,ACCTG,,
1589734,FINANC,,
1389812,ECON,,
1408968,ITAL,,
1725949,M E,,
1316416,BIOCHM,MICRO,
1796150,CHEM,,
1337935,ESRM,,
1725205,CEP,,
1328784,ART H,,
578112,ISS O,,
1488946,LSJ,SPAN,
1401830,SPHSC,,
1407254,AFS,,
1409007,BIOL,,
1726415,M E,,
1828465,NURSX,,
1324955,A A,,
1309451,OSCM,ACCTG,
1402735,ARCHST,,
1497391,PSYCH,,
1591029,C SCI,,
1653562,ART H,,
1497725,SPHSC,,
1334590,CM,,
1706791,C SCI,,
1567471,FINANC,,
1574818,PSYCH,,
1806573,C SCI,,
1561685,I S X,,
1164982,COM E,,
1412603,BIOL,,
1395055,CIV E,,
1599614,PSYCH,ECON,
1444186,BIOL,,
1575598,BSE,,
1578041,ANTH,,
1580564,BIOCHM,,
1498030,E E,,
1681836,POL S,,
1306885,OSCM,I S,
1413681,CEP,,
1486329,SPHSC,,
1410110,CHEM E,,
1403306,ECFS,,
1561677,BIOCHM,,
1233207,MKTG,CISB,
1468047,MATH,,
1361698,ISS O,,
1391376,MKTG,CISB,INFO
1064798,BIOL,,
1569795,ECON,,
1690848,BIOCHM,ANTH,
1585642,HIST,,
1828788,PHIL,RELIG,
1482579,E E,,
1389257,PHYS,,
1400029,ECFS,,
1388537,LING,GEOG,
1498513,ENTRE,,
1575019,ESS,JAPAN,ASIALC
1400085,BIOEN,,
1406145,AES,,
1497046,PHYS,,
1309270,COM,,
1406109,PH,,
1435412,C SCI,,
1626232,AES,,
1594201,ART H,,
1498369,HIST,,
1727252,ECFS,PSYCH,
1386487,BIOCHM,,
1641161,COM E,,
1469764,MLS,,
1566746,PHYS,,
1473635,E E,,
1408195,CIV E,,
1571351,I S,,
1484019,PHIL,,
1495799,HRMGT,,
1486860,BIOCHM,,
156560,ISS O,,
1557656,INFO,INFO,
1725197,ENGL,,
1827617,I S,OSCM,
1588315,M E,,
1409865,COM,,
1626340,LSJ,,
1408188,PH,NURS,
1590132,PSYCH,,
1570660,PH,,
1625901,M E,,
1394959,PHIL,,
1537301,INFO,,
1494829,HRMGT,I S,
1059039,POL S,,
1397420,HIST,,
1415912,MUSAP,,
1647285,MKTG,,
1621763,COM,,
1500447,C SCI,MATH,
1647301,COM,,
1500439,HIST,,
1480769,M E,,
1594106,INFO,,
1481272,E E,,
1497362,EDUC,,
1099513,M E,,
1462960,CHID,COM,
1727919,CIV E,,
1406310,ECON,,
1406462,BIOL,,
1493539,A A,,
1532759,MEDXD,,
1727477,PHYS,,
1400391,ECON,ACMS,
1721286,PH,,
1322314,ESRM,,
1333693,OCEAN,,
1331328,OSCM,I S,CISB
1485887,SOC,,
1234385,BIOL,,
1583595,DESIGN,,
1584978,ASIAN,,
1207201,ISS O,,
1387251,BIOL,,
1624535,ECON,,
1402651,NBIO,LING,
1612300,FINANC,ACCTG,
1594479,MLS,,
1587961,COM,,
1505461,SOC,,
1397979,BIOL,,
1547516,CSE,,
